T,RollA,PithA,RollG,PithG
8005,0.04,0.35,-0.06,-0.12
8060,0.33,0.03,-0.05,-0.11
8114,0.06,0.04,-0.06,-0.12
8168,0.34,0.60,-0.06,-0.11
8222,-0.24,0.08,-0.06,-0.12
8276,-0.20,0.03,-0.06,-0.12
8330,-0.03,-0.21,-0.06,-0.12
8384,0.14,0.03,-0.07,-0.12
8438,-0.11,-0.07,-0.07,-0.12
8492,0.28,0.24,-0.06,-0.12
8546,-0.13,0.01,-0.07,-0.12
8600,0.22,0.11,-0.07,-0.12
8654,-0.11,0.14,-0.07,-0.12
8708,0.27,0.25,-0.08,-0.11
8762,-0.04,0.15,-0.08,-0.11
8816,-0.06,0.24,-0.07,-0.11
8871,0.00,-0.19,-0.07,-0.11
8925,0.11,0.72,-0.07,-0.10
8979,0.06,0.24,-0.06,-0.11
9033,0.54,-0.29,-0.06,-0.11
9087,-0.03,0.14,-0.06,-0.12
9141,-0.29,-0.10,-0.06,-0.13
9195,-0.19,-0.14,-0.06,-0.13
9249,-0.07,0.25,-0.06,-0.12
9303,-0.36,0.36,-0.06,-0.12
9357,-0.11,0.28,-0.05,-0.11
9411,-0.15,0.22,-0.06,-0.11
9466,0.13,0.01,-0.05,-0.12
9520,0.01,0.00,-0.04,-0.11
9574,0.08,0.24,-0.03,-0.11
9628,-0.07,0.11,-0.03,-0.11
9683,0.18,0.00,-0.04,-0.12
9737,-0.14,0.18,-0.05,-0.13
9791,11.69,6.47,-0.01,-0.31
9845,-0.25,-0.01,-0.02,-0.32
9899,0.14,-0.04,-0.02,-0.32
9953,0.10,0.15,-0.03,-0.32
10007,0.13,-0.08,-0.04,-0.33
10061,-0.21,0.18,-0.04,-0.33
10115,-0.11,0.01,-0.03,-0.34
10169,0.15,-0.03,-0.04,-0.36
10223,0.08,-0.04,-0.04,-0.36
10278,0.29,0.36,-0.04,-0.36
10332,0.13,0.01,-0.04,-0.37
10386,0.13,-0.15,-0.04,-0.37
10440,-0.22,0.10,-0.03,-0.37
10494,-0.18,0.14,-0.04,-0.37
10548,0.21,-0.14,-0.03,-0.37
10602,0.07,0.19,-0.04,-0.37
10656,0.15,-0.20,-0.04,-0.39
10710,-0.03,0.23,-0.04,-0.38
10764,0.04,0.45,-0.05,-0.38
