T,RollA,PithA,RollG,PithG,RollFC,PitchFC
5572,0.11,0.00,0.01,0.00,0.01,0.00
5627,0.21,-0.22,0.01,0.01,0.02,-0.00
5681,-0.31,-0.10,0.01,-0.01,-0.00,-0.01
5735,-0.43,0.14,0.00,-0.01,-0.02,-0.00
5789,-0.13,-0.28,-0.02,0.00,-0.03,-0.01
5843,0.24,0.01,-0.03,-0.01,-0.02,-0.01
5897,-0.04,0.22,-0.02,-0.00,-0.02,0.01
5951,-0.06,0.04,-0.02,0.01,-0.02,0.01
6005,0.06,-0.04,-0.02,0.02,-0.02,0.01
6059,0.13,-0.03,-0.02,0.01,-0.01,0.01
6113,-0.32,-0.28,-0.02,0.01,-0.03,-0.00
6167,0.22,-0.07,-0.04,0.00,-0.03,0.00
6222,0.22,-0.26,-0.03,0.00,-0.02,-0.01
6276,-0.14,0.06,-0.02,-0.01,-0.02,-0.01
6330,0.03,-0.06,-0.01,-0.01,-0.01,-0.01
6384,-0.11,-0.14,-0.01,-0.01,-0.02,-0.02
6438,-0.43,-0.22,-0.02,-0.02,-0.04,-0.03
6492,0.03,0.04,-0.05,-0.03,-0.05,-0.03
6546,0.31,-0.24,-0.04,-0.02,-0.03,-0.03
6600,-0.10,0.07,-0.03,-0.03,-0.04,-0.03
6654,0.06,0.25,-0.04,-0.02,-0.04,-0.01
6708,-0.10,-0.35,-0.04,-0.01,-0.04,-0.02
6762,0.18,-0.14,-0.05,-0.01,-0.04,-0.02
6816,0.03,-0.48,-0.03,-0.01,-0.03,-0.04
6870,0.03,0.07,-0.03,-0.04,-0.02,-0.04
6924,0.10,0.18,-0.02,-0.04,-0.02,-0.03
6978,-0.13,-0.07,-0.03,-0.02,-0.03,-0.03
7033,0.15,0.17,-0.03,-0.03,-0.02,-0.02
7087,-0.20,0.20,-0.02,-0.01,-0.03,-0.00
7141,-0.03,0.24,-0.03,0.00,-0.03,0.01
7195,0.10,0.07,-0.03,-0.00,-0.02,0.00
7249,-0.18,0.06,-0.02,-0.00,-0.02,0.00
7303,-0.41,-0.10,-0.03,0.01,-0.05,0.00
7357,0.42,0.29,-0.04,0.00,-0.02,0.02
7411,0.20,-0.03,-0.02,0.01,-0.01,0.01
7465,0.06,0.00,-0.01,0.01,-0.00,0.01
7519,0.00,0.07,-0.00,0.00,-0.00,0.00
7573,-0.40,-0.31,-0.00,0.01,-0.02,-0.01
7627,0.08,-0.10,-0.03,-0.01,-0.02,-0.02
7681,-0.04,0.18,-0.02,-0.02,-0.02,-0.01
7735,0.12,0.07,-0.02,-0.01,-0.02,-0.01
7789,0.10,-0.06,-0.01,-0.01,-0.01,-0.02
7844,-0.19,-0.21,-0.00,-0.01,-0.01,-0.02
7898,0.07,-0.44,-0.01,-0.03,-0.00,-0.05
7952,0.18,0.26,-0.01,-0.06,-0.00,-0.04
8006,0.18,-0.18,-0.01,-0.04,0.00,-0.05
8060,-0.11,-0.22,-0.01,-0.05,-0.01,-0.05
8114,-0.13,0.13,-0.01,-0.06,-0.02,-0.05
8168,-0.45,-0.07,-0.02,-0.05,-0.04,-0.05
8222,0.03,0.20,-0.04,-0.06,-0.03,-0.04
8276,-0.35,0.00,-0.03,-0.04,-0.05,-0.04
8330,-0.24,-0.10,-0.05,-0.03,-0.06,-0.03
8384,0.00,-0.10,-0.06,-0.03,-0.05,-0.03
8438,-0.31,0.00,-0.05,-0.04,-0.07,-0.04
8492,0.26,-0.18,-0.07,-0.04,-0.06,-0.04
8546,0.31,0.17,-0.05,-0.04,-0.03,-0.03
8600,-0.11,-0.10,-0.04,-0.03,-0.04,-0.03
8655,0.28,-0.03,-0.04,-0.03,-0.03,-0.03
8709,-0.04,-0.01,-0.04,-0.04,-0.04,-0.03
8763,-0.10,-0.22,-0.03,-0.04,-0.04,-0.04
8817,0.15,-0.29,-0.04,-0.05,-0.03,-0.06
8871,-0.10,-0.20,-0.02,-0.06,-0.02,-0.07
8925,0.30,-0.27,-0.02,-0.06,-0.00,-0.07
8979,-0.03,-0.20,-0.01,-0.07,-0.01,-0.08
9033,0.00,-0.13,-0.00,-0.08,-0.00,-0.08
9087,-0.21,0.08,0.00,-0.08,-0.01,-0.07
9141,0.04,-0.18,-0.02,-0.07,-0.01,-0.07
9195,-0.03,0.43,-0.01,-0.08,-0.01,-0.05
9250,-0.10,-0.14,-0.01,-0.04,-0.02,-0.05
9304,0.14,-0.27,-0.02,-0.04,-0.02,-0.05
9358,-0.14,-0.46,-0.02,-0.05,-0.03,-0.07
9412,0.25,0.00,-0.02,-0.07,-0.01,-0.07
9467,0.25,0.13,-0.01,-0.07,0.01,-0.06
9521,-0.17,-0.21,0.00,-0.08,-0.01,-0.08
9575,0.03,-0.07,-0.00,-0.09,-0.00,-0.09
9629,-0.27,0.00,0.00,-0.10,-0.01,-0.09
9683,-0.40,0.06,-0.01,-0.10,-0.03,-0.09
9737,-0.08,-0.20,-0.02,-0.09,-0.03,-0.09
9791,-0.07,-0.30,-0.03,-0.09,-0.03,-0.10
9845,-0.24,0.11,-0.03,-0.10,-0.04,-0.09
9899,-0.15,0.25,-0.04,-0.08,-0.05,-0.07
9953,0.22,0.11,-0.03,-0.06,-0.02,-0.05
10007,-0.25,-0.11,-0.01,-0.05,-0.03,-0.05
10063,-0.11,0.27,-0.03,-0.06,-0.03,-0.04
10118,-0.35,0.20,-0.04,-0.04,-0.05,-0.02
10173,-0.22,-0.18,-0.06,-0.02,-0.07,-0.03
10227,-0.07,-0.42,-0.07,-0.03,-0.07,-0.05
10282,-0.11,-0.42,-0.07,-0.05,-0.07,-0.07
10337,-0.10,-0.10,-0.07,-0.07,-0.07,-0.07
10392,0.08,-0.07,-0.06,-0.07,-0.06,-0.07
10448,0.29,-0.04,-0.05,-0.08,-0.03,-0.08
10503,-0.01,-0.18,-0.03,-0.08,-0.03,-0.08
10558,0.13,-0.22,-0.04,-0.08,-0.03,-0.09
10613,0.08,-0.24,-0.03,-0.10,-0.03,-0.10
10668,-0.12,-0.33,-0.02,-0.10,-0.03,-0.11
10723,0.32,-0.17,-0.03,-0.12,-0.02,-0.12
10778,0.06,-0.34,-0.01,-0.11,-0.01,-0.13
