T,RollA,PithA,RollG,PithG,RollFC,PitchFC
0,-0.10,0.00,0.00,-0.00,-0.00,-0.00
54,-0.21,0.32,-0.00,0.00,-0.01,0.01
108,0.08,-0.13,-0.01,0.02,-0.01,0.01
162,0.14,0.10,-0.01,0.01,-0.01,0.01
216,0.32,-0.24,-0.01,0.02,-0.01,0.01
270,0.14,0.25,-0.01,0.01,-0.01,0.01
324,0.20,-0.53,-0.00,0.01,0.00,0.00
378,-0.14,0.08,-0.00,0.00,-0.01,0.01
432,0.50,-0.29,-0.01,0.01,0.00,0.01
486,-0.07,-0.10,-0.01,0.02,-0.01,0.01
540,0.14,-0.11,-0.00,0.01,-0.00,0.01
595,-0.11,0.08,-0.00,0.01,-0.00,0.02
649,0.31,-0.18,-0.01,0.02,-0.00,0.02
703,-0.11,0.08,-0.00,0.02,-0.00,0.02
757,-0.40,0.14,-0.00,0.02,-0.01,0.02
812,0.14,-0.24,-0.01,0.02,-0.00,0.02
866,0.31,-0.32,-0.00,0.02,0.00,0.01
920,0.01,-0.14,0.01,0.01,0.01,0.01
974,0.17,-0.11,0.00,0.01,0.00,0.01
1028,0.14,-0.57,-0.01,0.01,-0.00,-0.00
1082,-0.06,-0.15,-0.01,-0.00,-0.01,-0.01
1136,-0.01,0.00,-0.01,-0.00,-0.01,-0.00
1190,0.27,0.03,-0.02,-0.00,-0.01,0.00
1244,0.00,-0.46,-0.01,0.01,-0.01,-0.00
1298,-0.01,-0.10,-0.00,-0.00,-0.00,-0.00
1352,0.32,0.20,0.00,-0.00,0.01,0.00
1407,-0.14,-0.11,0.00,0.00,-0.00,-0.00
1461,0.22,0.06,0.00,-0.00,0.01,-0.00
1515,-0.26,0.22,0.01,0.00,0.00,0.01
1569,-0.04,-0.34,0.00,0.00,0.00,-0.01
1623,-0.10,-0.22,-0.00,0.00,-0.00,-0.00
1677,0.11,-0.20,-0.01,-0.00,-0.01,-0.01
1731,-0.11,0.00,-0.01,-0.00,-0.01,-0.00
1785,0.14,0.03,-0.01,0.00,-0.01,0.00
1839,0.10,0.39,-0.02,0.01,-0.01,0.01
1893,-0.03,-0.14,-0.02,0.02,-0.02,0.02
1947,-0.69,-0.01,-0.02,0.02,-0.03,0.02
2001,-0.29,-0.20,-0.03,0.03,-0.03,0.02
2055,0.18,-0.27,-0.03,0.03,-0.03,0.03
2109,-0.10,0.04,-0.03,0.02,-0.03,0.02
2163,0.18,0.22,-0.03,0.03,-0.03,0.03
2218,0.24,-0.26,-0.03,0.04,-0.02,0.04
2272,0.25,-0.36,-0.03,0.03,-0.02,0.02
2326,0.03,-0.21,-0.02,0.02,-0.02,0.02
2380,-0.08,0.00,-0.02,0.02,-0.02,0.02
2434,0.01,-0.06,-0.03,0.02,-0.03,0.02
2488,0.10,0.23,-0.04,0.02,-0.04,0.02
2542,0.30,-0.10,-0.04,0.03,-0.03,0.03
2596,-0.06,0.13,-0.04,0.03,-0.04,0.03
2650,-0.06,0.07,-0.04,0.03,-0.04,0.03
2704,0.04,0.32,-0.04,0.03,-0.04,0.03
2758,0.08,-0.24,-0.03,0.03,-0.03,0.02
2812,0.00,0.06,-0.03,0.02,-0.03,0.02
2866,0.11,-0.39,-0.04,0.02,-0.04,0.01
2920,-0.22,-0.10,-0.04,0.01,-0.04,0.01
2974,0.31,0.13,-0.05,0.01,-0.04,0.01
3029,0.01,-0.01,-0.05,0.02,-0.04,0.02
3083,0.29,-0.14,-0.04,0.02,-0.04,0.02
3137,0.17,-0.18,-0.04,0.03,-0.04,0.02
3191,-0.11,0.34,-0.05,0.02,-0.05,0.03
3245,0.18,-0.17,-0.06,0.03,-0.05,0.03
3299,0.01,0.10,-0.05,0.04,-0.05,0.04
3353,0.03,0.20,-0.06,0.04,-0.05,0.04
3407,-0.32,-0.04,-0.05,0.05,-0.06,0.05
3461,0.29,-0.18,-0.06,0.06,-0.05,0.06
3515,-0.33,0.03,-0.06,0.06,-0.06,0.06
3569,-0.28,-0.35,-0.06,0.06,-0.06,0.05
3624,-0.18,0.20,-0.06,0.05,-0.07,0.05
3678,0.33,-0.03,-0.07,0.05,-0.06,0.05
3732,-0.04,0.08,-0.05,0.05,-0.05,0.05
3786,-0.06,0.17,-0.06,0.07,-0.06,0.07
3841,0.04,-0.14,-0.05,0.07,-0.05,0.07
3895,0.03,0.18,-0.06,0.07,-0.06,0.07
3949,0.00,0.10,-0.06,0.07,-0.06,0.07
4003,-0.04,-0.18,-0.07,0.07,-0.07,0.07
4057,0.31,-0.28,-0.08,0.06,-0.07,0.06
4111,0.24,0.21,-0.06,0.04,-0.06,0.04
4165,0.10,0.11,-0.06,0.04,-0.05,0.05
4219,0.15,-0.03,-0.05,0.06,-0.05,0.06
4273,0.03,0.18,-0.07,0.06,-0.06,0.06
4327,0.10,-0.18,-0.07,0.06,-0.07,0.05
4381,0.33,-0.26,-0.07,0.05,-0.06,0.04
4436,-0.01,-0.03,-0.07,0.04,-0.07,0.04
4490,0.14,-0.01,-0.07,0.04,-0.07,0.04
4544,0.07,0.33,-0.07,0.04,-0.07,0.04
4598,-0.21,-0.21,-0.07,0.05,-0.08,0.04
4652,0.04,0.20,-0.09,0.05,-0.08,0.05
4706,-0.14,-0.32,-0.08,0.05,-0.08,0.04
4760,-0.10,-0.18,-0.08,0.05,-0.08,0.05
4814,0.04,-0.14,-0.08,0.04,-0.08,0.04
4868,-0.18,0.10,-0.08,0.04,-0.08,0.04
4922,0.00,-0.01,-0.09,0.04,-0.09,0.04
4976,-0.04,-0.01,-0.10,0.03,-0.10,0.03
5030,0.14,-0.15,-0.10,0.04,-0.10,0.04
5084,0.20,0.01,-0.09,0.03,-0.08,0.03
5138,0.04,-0.13,-0.08,0.04,-0.08,0.03
5192,0.00,0.21,-0.07,0.03,-0.07,0.03
5247,-0.06,-0.21,-0.07,0.04,-0.07,0.03
5301,-0.13,-0.39,-0.08,0.03,-0.08,0.02
5355,-0.52,0.04,-0.09,0.01,-0.09,0.01
5409,0.03,-0.42,-0.10,0.00,-0.09,-0.01
5463,-0.25,-0.27,-0.08,0.00,-0.09,-0.00
5517,0.42,-0.38,-0.09,0.00,-0.08,-0.01
5571,0.11,-0.14,-0.09,-0.00,-0.08,-0.00
5625,-0.07,-0.04,-0.08,-0.00,-0.08,-0.00
5679,0.03,-0.21,-0.09,0.00,-0.09,-0.00
5733,0.04,0.03,-0.09,0.01,-0.09,0.01
5787,0.04,-0.15,-0.09,-0.00,-0.09,-0.00
5841,0.22,-0.41,-0.08,0.00,-0.08,-0.01
5895,0.45,-0.13,-0.07,-0.01,-0.06,-0.01
5949,0.22,-0.06,-0.06,-0.01,-0.06,-0.01
6003,0.38,0.36,-0.06,-0.01,-0.05,0.00
6058,0.21,0.18,-0.06,0.00,-0.06,0.01
6112,0.04,0.13,-0.05,0.01,-0.05,0.01
6166,0.18,0.06,-0.06,0.02,-0.05,0.02
6220,-0.03,-0.10,-0.06,0.02,-0.06,0.02
6274,0.07,0.03,-0.07,0.02,-0.06,0.02
6328,-0.13,-0.39,-0.06,0.03,-0.06,0.03
6382,0.18,0.01,-0.07,0.03,-0.07,0.03
6436,-0.15,-0.24,-0.07,0.04,-0.07,0.03
6490,-0.10,-0.17,-0.06,0.04,-0.06,0.03
6544,0.10,-0.22,-0.06,0.03,-0.06,0.02
6598,0.04,-0.07,-0.05,0.03,-0.05,0.03
6652,-0.25,0.18,-0.06,0.03,-0.06,0.03
6706,0.04,0.15,-0.06,0.03,-0.06,0.03
6760,-0.26,-0.29,-0.07,0.03,-0.07,0.02
6814,0.14,0.06,-0.07,0.02,-0.06,0.02
6869,0.24,-0.29,-0.07,0.02,-0.06,0.02
6923,0.01,-0.01,-0.06,0.02,-0.06,0.02
6977,0.18,-0.13,-0.07,0.02,-0.07,0.02
7031,0.03,-0.52,-0.07,0.02,-0.07,0.01
7085,0.24,-0.28,-0.07,0.02,-0.06,0.01
7139,-0.07,-0.21,-0.05,0.01,-0.05,0.00
7193,-0.13,-0.11,-0.05,0.00,-0.05,0.00
7247,-0.13,0.28,-0.05,-0.00,-0.05,0.00
7301,-0.25,-0.06,-0.05,0.00,-0.06,-0.00
7355,0.24,-0.04,-0.06,0.01,-0.06,0.00
7409,-0.01,0.28,-0.05,0.01,-0.05,0.02
7464,0.20,-0.04,-0.05,0.02,-0.05,0.02
7518,0.39,0.06,-0.06,0.01,-0.05,0.01
7572,-0.32,0.42,-0.05,0.01,-0.06,0.02
7626,0.47,-0.06,-0.06,0.02,-0.05,0.02
7681,0.03,-0.43,-0.05,0.02,-0.05,0.01
7735,-0.27,0.17,-0.05,0.01,-0.05,0.01
7789,0.21,0.06,-0.06,0.02,-0.05,0.02
7843,-0.07,-0.10,-0.05,0.02,-0.05,0.02
7897,0.20,-0.18,-0.06,0.02,-0.05,0.02
7951,-0.13,-0.01,-0.05,0.01,-0.05,0.01
8005,0.03,-0.10,-0.06,0.02,-0.06,0.02
8059,-0.21,-0.24,-0.06,0.02,-0.06,0.01
8113,0.10,0.13,-0.06,0.02,-0.06,0.02
8167,0.00,0.15,-0.06,0.01,-0.06,0.01
8221,0.13,-0.07,-0.06,0.02,-0.05,0.02
8276,0.07,-0.08,-0.06,0.01,-0.05,0.01
8330,0.06,0.08,-0.07,0.01,-0.06,0.02
8384,-0.18,-0.27,-0.06,0.01,-0.06,0.01
8438,-0.25,0.01,-0.07,0.01,-0.07,0.01
8492,-0.06,-0.01,-0.08,0.01,-0.08,0.01
8546,-0.24,-0.01,-0.08,0.02,-0.08,0.02
8600,0.06,-0.28,-0.08,0.01,-0.08,0.01
8654,0.00,-0.03,-0.09,0.01,-0.08,0.01
8708,-0.04,-0.07,-0.09,0.01,-0.08,0.01
8762,-0.13,0.13,-0.09,0.01,-0.09,0.01
8816,0.24,-0.13,-0.09,0.02,-0.09,0.02
8870,-0.08,0.12,-0.09,0.02,-0.09,0.02
8924,0.24,-0.15,-0.09,0.02,-0.08,0.02
8978,0.04,-0.06,-0.08,0.02,-0.08,0.02
9032,0.14,-0.29,-0.08,0.02,-0.08,0.01
9087,0.18,0.18,-0.08,0.01,-0.08,0.02
9141,-0.11,0.08,-0.07,0.02,-0.07,0.02
9195,-0.13,0.01,-0.07,0.02,-0.07,0.02
9249,-0.11,0.18,-0.08,0.02,-0.08,0.02
9303,-0.14,0.00,-0.08,0.03,-0.08,0.03
9357,-0.41,-0.07,-0.09,0.02,-0.09,0.01
9411,0.31,-0.18,-0.09,0.01,-0.08,0.01
9465,-0.21,0.14,-0.09,0.01,-0.09,0.01
9519,0.24,-0.11,-0.09,0.01,-0.09,0.01
9573,-0.13,0.07,-0.09,0.01,-0.09,0.01
9627,0.07,0.19,-0.10,0.01,-0.10,0.02
9681,-0.31,-0.32,-0.10,0.01,-0.10,0.01
9735,0.18,-0.38,-0.10,0.00,-0.09,-0.01
9789,0.24,-0.04,-0.09,-0.02,-0.08,-0.02
9843,0.20,0.17,-0.08,-0.02,-0.08,-0.01
9898,0.27,-0.06,-0.09,-0.00,-0.09,-0.01
9952,-0.15,0.11,-0.08,0.00,-0.08,0.00
10006,-0.04,-0.44,-0.08,-0.00,-0.08,-0.01
10061,0.01,-0.18,-0.08,-0.01,-0.08,-0.01
10115,-0.17,0.06,-0.08,-0.00,-0.09,-0.00
10169,0.17,0.13,-0.09,-0.00,-0.08,-0.00
10223,-0.06,0.06,-0.09,-0.01,-0.09,-0.00
10278,-0.31,-0.10,-0.10,-0.00,-0.10,-0.00
10332,-0.15,0.03,-0.10,0.00,-0.10,0.00
10386,0.20,-0.06,-0.10,0.01,-0.09,0.01
