T,RollA,PithA,RollG,PithG,RollFC,PitchFC
0,0.14,-0.23,-0.00,-0.01,0.00,-0.02
54,0.01,0.08,0.01,-0.02,0.01,-0.02
108,-0.04,-0.17,0.02,-0.02,0.01,-0.02
162,-0.14,0.03,0.02,-0.03,0.01,-0.03
217,-0.31,0.28,0.02,-0.03,0.01,-0.02
271,-0.06,-0.06,0.01,-0.02,0.00,-0.02
325,0.15,-0.27,0.00,-0.02,0.01,-0.03
379,0.10,-0.14,0.01,-0.03,0.01,-0.04
433,0.21,-0.13,0.02,-0.04,0.03,-0.04
487,0.00,0.31,0.04,-0.05,0.03,-0.04
541,0.01,0.08,0.03,-0.04,0.03,-0.03
595,0.01,0.17,0.04,-0.03,0.03,-0.03
649,-0.46,0.10,0.04,-0.03,0.02,-0.03
703,-0.01,-0.06,0.02,-0.03,0.02,-0.03
757,0.14,-0.15,0.02,-0.02,0.02,-0.03
812,-0.19,-0.10,0.02,-0.03,0.02,-0.03
866,-0.20,-0.08,0.02,-0.03,0.02,-0.03
920,-0.55,0.15,0.02,-0.03,0.00,-0.02
974,0.25,-0.14,0.01,-0.03,0.02,-0.03
1028,0.17,-0.17,0.02,-0.03,0.02,-0.04
1082,0.04,-0.32,0.03,-0.03,0.03,-0.04
1136,-0.29,0.00,0.03,-0.05,0.02,-0.05
1190,-0.08,-0.11,0.02,-0.04,0.02,-0.04
1244,-0.31,-0.03,0.02,-0.04,0.01,-0.04
1298,0.11,-0.10,0.01,-0.05,0.01,-0.05
1352,0.07,-0.21,0.01,-0.06,0.01,-0.07
1406,-0.04,0.03,0.01,-0.07,0.01,-0.07
1460,-0.06,0.03,0.01,-0.08,0.01,-0.07
1514,-0.10,0.08,0.01,-0.07,0.01,-0.06
1568,0.00,0.08,0.02,-0.06,0.02,-0.05
1623,-0.04,0.11,0.01,-0.07,0.01,-0.06
1677,-0.41,0.03,0.01,-0.07,0.00,-0.07
1731,0.08,-0.14,0.01,-0.06,0.01,-0.06
1785,0.10,-0.06,0.01,-0.07,0.02,-0.07
1839,0.11,0.15,0.02,-0.07,0.02,-0.06
1893,-0.11,0.08,0.02,-0.07,0.02,-0.06
1947,0.00,-0.41,0.02,-0.06,0.02,-0.07
2001,-0.15,-0.10,0.02,-0.07,0.01,-0.07
2055,-0.17,-0.51,0.01,-0.06,0.00,-0.08
2109,0.04,-0.24,-0.00,-0.08,-0.00,-0.08
2163,0.45,0.15,-0.01,-0.08,0.01,-0.07
2217,-0.03,0.00,0.01,-0.08,0.01,-0.07
2271,0.28,-0.04,0.00,-0.07,0.01,-0.07
2325,-0.28,-0.13,0.01,-0.07,-0.00,-0.07
2379,0.10,-0.03,0.00,-0.07,0.00,-0.07
2434,0.41,-0.01,0.01,-0.08,0.02,-0.07
2488,0.39,-0.22,0.02,-0.08,0.03,-0.08
2542,-0.11,0.18,0.04,-0.09,0.04,-0.08
2596,-0.08,-0.13,0.03,-0.09,0.03,-0.09
