T,RollA,PithA,RollG,PithG,RollFC,PitchFC
2650,0.03,-0.25,0.03,-0.10,0.03,-0.10
2704,0.34,-0.04,0.03,-0.11,0.04,-0.11
2758,0.07,-0.15,0.03,-0.11,0.03,-0.11
2812,-0.06,0.00,0.04,-0.11,0.04,-0.11
2866,-0.01,-0.03,0.04,-0.11,0.04,-0.11
2920,-0.01,-0.04,0.03,-0.10,0.03,-0.10
2974,-0.03,0.03,0.04,-0.11,0.03,-0.11
3028,-0.37,-0.07,0.04,-0.12,0.03,-0.12
3082,-0.06,0.01,0.03,-0.11,0.03,-0.11
3136,-0.25,-0.14,0.03,-0.11,0.02,-0.11
3190,0.17,0.32,0.01,-0.12,0.02,-0.11
3245,0.14,0.10,0.03,-0.11,0.03,-0.10
3299,0.08,-0.07,0.03,-0.10,0.03,-0.10
3353,0.10,-0.36,0.03,-0.10,0.03,-0.11
3407,0.14,0.17,0.04,-0.12,0.04,-0.11
3461,-0.15,-0.24,0.05,-0.10,0.04,-0.10
3515,-0.03,-0.11,0.04,-0.11,0.04,-0.11
3569,-0.18,0.17,0.04,-0.11,0.03,-0.10
3623,-0.03,-0.31,0.04,-0.11,0.03,-0.11
3677,0.01,-0.15,0.03,-0.11,0.03,-0.12
3731,-0.08,0.15,0.02,-0.11,0.02,-0.10
3785,0.03,0.18,0.01,-0.11,0.01,-0.10
3840,0.14,-0.07,0.01,-0.10,0.02,-0.10
3894,-0.15,-0.18,0.01,-0.11,0.01,-0.11
3948,-0.04,-0.17,0.01,-0.11,0.01,-0.11
4002,0.34,-0.11,0.01,-0.12,0.02,-0.12
4057,-0.03,-0.27,0.02,-0.12,0.01,-0.12
4111,-0.24,0.03,0.01,-0.13,0.00,-0.13
4165,-0.19,-0.06,-0.01,-0.13,-0.01,-0.13
4219,-0.21,0.03,-0.01,-0.13,-0.02,-0.13
4273,-0.11,-0.20,-0.01,-0.13,-0.01,-0.13
4327,-0.15,-0.01,-0.02,-0.13,-0.02,-0.13
4381,-0.06,-0.31,-0.03,-0.13,-0.03,-0.13
4435,-0.28,0.28,-0.02,-0.13,-0.03,-0.12
4489,0.00,0.20,-0.03,-0.11,-0.03,-0.11
4543,-0.10,-0.14,-0.03,-0.11,-0.03,-0.11
4597,0.30,0.04,-0.03,-0.12,-0.02,-0.11
4652,0.14,-0.07,-0.02,-0.11,-0.01,-0.11
4706,0.28,0.21,-0.02,-0.11,-0.01,-0.10
4760,0.07,-0.30,-0.01,-0.11,-0.01,-0.12
4814,0.13,-0.07,-0.01,-0.11,-0.00,-0.11
4868,0.06,0.06,-0.01,-0.10,-0.01,-0.10
4922,0.24,-0.39,-0.00,-0.10,0.01,-0.11
4976,0.10,0.20,0.00,-0.10,0.00,-0.09
5030,-0.22,-0.17,-0.00,-0.09,-0.01,-0.09
5084,-0.36,0.17,-0.00,-0.09,-0.01,-0.08
5138,0.25,0.10,-0.02,-0.08,-0.01,-0.07
5192,-0.04,-0.07,-0.01,-0.08,-0.01,-0.08
5246,0.03,-0.13,-0.01,-0.08,-0.01,-0.08
5300,-0.06,-0.36,-0.01,-0.08,-0.01,-0.09
5354,-0.06,0.24,-0.01,-0.09,-0.01,-0.08
5408,0.13,0.15,-0.02,-0.09,-0.01,-0.08
5463,0.17,0.06,-0.01,-0.09,-0.01,-0.08
5517,0.08,-0.35,-0.01,-0.09,-0.00,-0.09
5571,-0.24,-0.31,-0.00,-0.08,-0.01,-0.09
5625,-0.10,-0.49,-0.01,-0.10,-0.01,-0.11
5679,-0.11,-0.10,-0.01,-0.11,-0.01,-0.11
5733,-0.39,-0.03,-0.01,-0.10,-0.02,-0.10
5787,0.04,-0.15,-0.03,-0.11,-0.02,-0.11
5841,-0.11,-0.17,-0.02,-0.11,-0.03,-0.11
5895,0.21,-0.04,-0.03,-0.11,-0.02,-0.11
5949,0.08,0.03,-0.02,-0.10,-0.02,-0.10
6003,-0.25,-0.03,-0.02,-0.09,-0.03,-0.09
6057,0.00,-0.18,-0.03,-0.09,-0.03,-0.10
6111,-0.27,-0.01,-0.03,-0.10,-0.04,-0.10
6165,0.04,-0.01,-0.04,-0.10,-0.04,-0.09
6219,0.03,0.10,-0.05,-0.09,-0.05,-0.09
6274,-0.21,-0.24,-0.04,-0.09,-0.04,-0.09
6328,0.17,0.01,-0.04,-0.09,-0.03,-0.09
6382,0.00,-0.04,-0.03,-0.09,-0.03,-0.09
6436,-0.18,-0.03,-0.04,-0.10,-0.05,-0.10
6490,0.28,-0.04,-0.05,-0.10,-0.04,-0.10
6544,-0.10,0.11,-0.03,-0.08,-0.03,-0.08
6598,0.04,-0.25,-0.03,-0.08,-0.03,-0.08
6652,-0.06,-0.14,-0.03,-0.09,-0.03,-0.09
6706,-0.06,0.07,-0.03,-0.09,-0.03,-0.08
6760,-0.10,-0.07,-0.02,-0.08,-0.02,-0.08
6814,0.00,-0.08,-0.02,-0.08,-0.02,-0.08
6868,0.08,-0.42,-0.04,-0.09,-0.03,-0.10
6922,-0.34,0.08,-0.04,-0.11,-0.05,-0.11
6976,-0.06,-0.01,-0.04,-0.11,-0.04,-0.11
7030,0.37,0.07,-0.03,-0.11,-0.02,-0.10
7085,0.06,-0.28,-0.02,-0.09,-0.02,-0.10
7139,0.24,0.06,-0.02,-0.11,-0.01,-0.10
7193,-0.07,-0.27,-0.01,-0.11,-0.01,-0.12
7247,-0.20,0.01,-0.02,-0.12,-0.03,-0.12
7301,0.06,0.10,-0.03,-0.12,-0.03,-0.12
7355,0.21,-0.20,-0.03,-0.12,-0.03,-0.12
7409,0.08,-0.14,-0.02,-0.12,-0.02,-0.12
7463,0.07,-0.29,-0.02,-0.13,-0.02,-0.13
7517,0.11,-0.10,-0.02,-0.12,-0.01,-0.12
7571,-0.14,-0.01,-0.00,-0.12,-0.01,-0.12
7625,-0.01,0.00,-0.01,-0.12,-0.01,-0.11
7680,0.34,0.11,-0.01,-0.11,-0.00,-0.10
7734,-0.14,0.10,-0.01,-0.11,-0.01,-0.10
7788,0.29,0.03,-0.00,-0.10,0.01,-0.10
7842,-0.07,-0.42,0.01,-0.11,0.01,-0.12
7897,0.07,-0.13,0.01,-0.12,0.01,-0.12
7951,-0.24,-0.07,0.00,-0.12,-0.00,-0.12
8005,-0.24,-0.36,-0.01,-0.12,-0.02,-0.13
8059,0.04,-0.28,-0.02,-0.13,-0.02,-0.13
8113,0.00,-0.18,-0.01,-0.13,-0.01,-0.13
8167,-0.15,-0.07,-0.01,-0.13,-0.02,-0.13
8221,0.01,0.03,-0.02,-0.13,-0.01,-0.13
8275,-0.17,0.34,-0.02,-0.13,-0.02,-0.11
8329,-0.18,-0.03,-0.02,-0.12,-0.03,-0.12
8383,-0.28,-0.04,-0.03,-0.11,-0.04,-0.11
8437,0.20,-0.14,-0.04,-0.11,-0.03,-0.11
8492,0.04,0.24,-0.03,-0.11,-0.03,-0.10
8546,-0.10,0.15,-0.03,-0.10,-0.03,-0.10
8600,0.15,0.01,-0.03,-0.10,-0.03,-0.10
8654,0.08,-0.03,-0.02,-0.09,-0.02,-0.09
8708,-0.21,0.06,-0.01,-0.10,-0.01,-0.09
8762,-0.07,-0.07,-0.02,-0.09,-0.02,-0.09
8816,-0.03,-0.01,-0.01,-0.09,-0.01,-0.09
8870,-0.22,-0.04,-0.02,-0.10,-0.02,-0.09
8924,0.07,-0.69,-0.01,-0.09,-0.01,-0.11
8978,-0.29,0.03,-0.01,-0.11,-0.02,-0.10
9032,-0.14,-0.08,-0.01,-0.11,-0.01,-0.11
9086,-0.17,-0.17,-0.00,-0.11,-0.01,-0.11
9140,-0.27,0.31,-0.01,-0.11,-0.02,-0.09
9194,-0.03,-0.01,-0.01,-0.10,-0.01,-0.09
9248,0.03,-0.38,-0.00,-0.10,-0.00,-0.10
9303,-0.35,-0.11,0.00,-0.12,-0.01,-0.12
9357,-0.08,0.06,-0.00,-0.12,-0.01,-0.11
9411,0.22,-0.17,-0.00,-0.11,0.00,-0.11
9465,0.04,-0.07,0.00,-0.11,0.00,-0.11
9519,-0.07,-0.11,0.01,-0.11,0.01,-0.11
9573,0.04,0.36,0.02,-0.10,0.02,-0.09
9627,-0.38,-0.18,0.02,-0.09,0.01,-0.10
9681,-0.20,0.06,0.02,-0.09,0.01,-0.09
9735,-0.24,0.24,0.01,-0.09,0.00,-0.08
9789,0.14,0.22,0.00,-0.08,0.00,-0.07
9843,-0.10,0.07,0.00,-0.08,-0.00,-0.08
9897,0.08,-0.07,0.01,-0.08,0.01,-0.08
9951,0.10,-0.01,0.01,-0.08,0.01,-0.08
10005,0.31,0.35,0.01,-0.08,0.02,-0.07
10059,0.08,0.50,0.01,-0.07,0.01,-0.05
10114,-0.25,0.32,0.02,-0.05,0.01,-0.04
10168,-0.08,0.08,0.00,-0.05,0.00,-0.04
10222,-0.11,0.17,-0.00,-0.04,-0.01,-0.03
10277,-0.18,0.00,0.01,-0.03,0.00,-0.03
10331,-0.07,-0.11,0.00,-0.02,0.00,-0.03
10385,-0.34,-0.24,0.01,-0.02,-0.00,-0.03
10439,0.14,0.18,-0.00,-0.03,0.00,-0.02
10493,-0.08,0.06,0.01,-0.02,0.01,-0.02
10548,-0.25,-0.04,0.01,-0.03,0.00,-0.03
10603,-0.15,-0.10,-0.00,-0.03,-0.01,-0.03
10657,0.00,0.20,0.00,-0.02,0.00,-0.02
10712,-0.06,-0.13,0.01,-0.02,0.00,-0.02
10767,-0.07,-0.03,0.00,-0.02,-0.00,-0.02
